DISTRICT,YEAR,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Karnataka,29,Belagavi,527,Belagavi District,92,4,102,545,0,0,0,14,5,31,174,1,8,6,27,279,31,0,0,6,82,0,0,0,0,2,8,145,0,0,0,8,156,0,8,44,37,0,0,3,1,2,0,0,0,0,0,0,26,0,2,0,0,0,0,2,1,2,0,1,0,,0,0,93,0,0,0,0,0,209,1,1,3,282,151,25,166,4,29,0,7,0,0,4,11,0,0,0,0,0,33,1,0,0,82,46,1,5,0,0,47,42,960,0,1,0,11,0,4,4,48,115,0,57,0,273,
2021,Karnataka,29,Ballari,528,Ballari,40,1,19,396,0,0,0,8,5,27,77,0,6,3,118,149,31,0,0,6,9,0,0,0,0,0,24,54,0,0,0,19,62,0,6,53,19,0,0,1,1,0,0,2,0,0,0,0,13,0,1,0,0,0,1,0,1,1,0,0,1,,0,0,40,0,0,0,0,0,120,1,0,11,283,265,21,131,0,21,0,4,0,1,1,16,0,0,0,0,0,2,2,1,7,133,9,8,18,0,0,95,333,306,0,0,0,2,0,8,9,41,99,0,52,3,553,
2021,Karnataka,29,Bidar,529,Bidar,41,1,35,224,0,0,1,7,3,12,39,4,5,5,63,446,25,0,0,3,41,0,0,1,0,0,27,27,2,0,0,2,3,0,5,25,7,0,0,0,2,2,0,2,1,0,0,0,5,0,0,0,0,0,0,0,0,3,0,2,0,,0,0,37,3,33,0,0,0,38,2,0,22,201,85,18,138,1,33,0,6,0,0,3,8,0,0,0,0,1,1,0,0,1,41,5,8,1,0,0,56,156,616,0,0,0,4,0,4,6,54,68,0,29,0,76,
2021,Karnataka,29,Vijayapura,530,Vijayapura,76,3,37,349,0,0,0,9,5,13,103,1,0,8,0,177,0,0,0,0,70,0,0,26,0,0,4,124,0,0,0,9,4,1,3,46,7,0,0,0,4,0,0,16,0,0,0,0,15,1,0,0,0,0,0,19,0,0,0,0,0,,19,10,35,10,49,0,0,0,46,1,0,5,190,136,23,103,0,10,0,7,0,2,0,6,0,0,0,0,2,49,0,0,0,40,8,4,48,0,10,0,0,511,0,0,0,5,0,4,4,14,93,0,41,1,371,
2021,Karnataka,29,Chikkaballapura,630,Chikkaballapura,44,1,22,231,0,0,0,8,3,15,71,0,4,5,0,380,36,0,0,0,12,1,0,0,0,0,10,40,0,0,0,21,34,2,1,38,0,0,0,2,0,1,0,4,0,0,0,0,14,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,60,0,0,0,0,0,119,4,0,8,137,102,20,93,2,29,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,80,7,0,38,0,0,19,197,184,0,0,0,4,0,8,12,52,54,0,55,0,44,
2021,Karnataka,29,Chamarajanagara,531,Chamarajnagar,22,3,9,143,0,0,0,0,2,13,57,0,1,4,0,224,7,0,0,0,10,0,0,16,0,0,1,44,0,0,0,8,107,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,,3,4,15,2,21,0,0,0,3,2,0,8,39,57,10,47,0,6,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,23,9,0,174,0,0,25,199,119,40,0,0,5,0,5,6,8,22,0,24,1,19,
2021,Karnataka,29,Chikkamagaluru,532,Chikkamagaluru,24,1,11,170,0,0,0,9,2,13,64,0,3,4,98,373,41,8,0,7,25,0,0,2,12,0,7,115,0,0,0,19,25,1,4,67,9,0,0,0,1,0,0,0,0,0,0,0,19,0,0,0,0,0,1,0,0,4,1,0,0,,1,0,57,3,0,0,0,0,12,0,0,10,79,150,14,73,0,24,1,4,0,0,1,2,0,0,0,0,0,0,0,0,2,53,13,2,6,0,0,95,238,304,0,0,0,6,0,13,3,63,62,0,53,1,115,
2021,Karnataka,29,Chitradurga,533,Chitradurga,24,5,9,364,0,0,0,5,3,7,45,0,16,2,214,214,32,0,0,5,6,0,0,0,0,0,7,216,10,0,0,0,65,0,3,100,3,0,0,0,1,0,0,1,1,0,0,0,17,0,0,0,0,0,0,0,0,1,0,47,0,,13,6,84,19,18,0,0,0,3,3,0,4,123,109,18,98,0,32,0,5,0,1,0,3,0,0,0,0,1,0,0,0,0,68,8,0,1,0,0,119,645,348,958,0,0,6,0,16,2,28,59,0,39,0,72,
2021,Karnataka,29,Dakshina Kannada,534,Dakshina Kannada,9,1,2,130,0,0,0,8,1,5,22,1,0,0,0,221,27,0,0,0,13,0,0,0,4,0,2,30,0,0,0,15,2,1,4,23,3,0,0,0,0,0,0,1,0,0,0,0,15,0,1,0,0,0,2,0,0,0,0,0,0,,0,0,15,0,41,0,0,0,12,2,0,4,20,64,6,51,1,8,0,0,0,0,0,3,0,0,0,0,0,4,1,0,0,36,2,0,1,0,0,30,417,169,0,0,0,5,0,14,5,28,20,1,138,4,83,
2021,Karnataka,29,Davangere,535,Davanagere,33,3,34,207,0,0,0,6,7,12,81,0,5,2,141,94,24,0,0,7,11,0,0,0,0,0,8,50,0,0,0,14,87,0,0,94,7,0,0,2,1,0,0,1,0,0,0,0,14,0,0,0,0,0,0,0,0,1,0,0,1,,0,0,61,0,0,0,0,0,94,3,0,2,264,201,22,129,3,40,0,4,0,1,0,12,0,0,0,0,0,0,0,0,0,98,12,0,0,0,0,50,357,328,0,0,0,5,0,3,9,63,69,0,28,4,40,
2021,Karnataka,29,Dharwad,536,Dharwad,18,0,54,130,0,0,0,8,2,7,38,1,0,1,28,50,5,0,7,2,8,0,0,5,1,4,6,23,0,1,0,0,8,0,1,2,15,0,0,1,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,,2,0,22,0,0,0,0,0,25,0,0,6,51,63,13,35,0,15,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,27,0,1,4,0,0,37,40,175,1,0,0,2,1,3,4,17,24,0,12,2,22,
2021,Karnataka,29,Gadag,537,Gadag,11,0,0,136,0,0,0,4,1,5,39,0,1,1,0,91,10,0,0,0,24,0,0,0,3,0,3,33,0,0,0,5,9,0,2,6,0,0,0,1,31,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,1,0,0,0,,0,0,26,0,3,0,0,0,57,0,0,1,53,33,9,35,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2,1,2,0,0,13,14,128,0,0,0,0,0,2,3,7,19,0,20,0,18,
2021,Karnataka,29,Kalaburagi,538,Kalaburgi,41,2,13,251,0,0,0,1,9,11,81,1,0,2,56,251,21,0,0,12,25,1,0,5,0,0,5,116,0,0,0,0,8,0,0,17,18,0,0,2,8,6,0,4,0,0,0,0,15,1,0,0,0,0,0,0,0,2,0,0,0,,0,0,17,0,3,0,0,0,243,0,0,5,62,307,8,90,0,6,1,2,0,1,0,5,0,0,0,0,1,0,0,0,4,17,2,0,3,0,0,18,61,418,0,0,0,8,0,5,5,29,74,0,24,0,68,
2021,Karnataka,29,Hassan,539,Hassan,52,3,37,372,0,0,0,7,7,25,137,0,8,7,0,763,47,0,0,0,54,0,0,0,25,0,11,162,0,0,0,12,44,0,3,56,0,0,0,0,1,0,0,22,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,112,0,0,29,221,143,32,88,0,58,0,16,0,0,0,4,0,0,0,0,0,0,0,0,0,107,7,2,4,0,1,0,670,722,0,0,0,10,0,9,12,41,49,0,93,1,526,
2021,Karnataka,29,Haveri,540,Haveri,23,5,13,205,0,0,0,0,8,12,74,0,0,0,0,207,25,0,0,0,19,0,0,0,0,0,1,63,0,0,0,0,0,0,0,18,6,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,127,0,149,0,0,0,0,1,0,3,132,118,8,93,0,11,0,8,0,1,0,1,0,0,0,0,0,0,0,0,0,68,4,11,0,0,0,55,118,362,0,0,0,8,0,7,2,13,37,0,8,0,151,
2021,Karnataka,29,Dharwad,536,Hubballi Dharwad City,14,1,10,95,0,0,0,5,0,6,59,0,1,0,44,119,18,0,0,8,9,0,0,1,1,0,7,49,0,0,0,2,4,0,0,29,2,0,0,1,0,0,0,15,1,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,4,2,40,0,0,0,5,2,0,29,188,126,16,134,1,52,0,1,0,1,1,14,0,0,0,0,2,1,2,0,0,79,17,0,7,0,0,103,47,173,0,0,0,3,0,8,5,16,62,0,14,1,226,
2021,Karnataka,29,Belagavi,527,K.G.F.,15,0,3,36,0,0,0,0,2,2,17,0,2,0,15,90,9,0,0,3,12,0,0,0,0,0,0,17,0,0,0,0,2,0,0,13,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,23,4,3,0,0,0,13,0,0,1,53,22,6,28,0,12,0,0,0,1,0,2,0,0,0,0,0,0,1,0,7,9,6,0,46,0,0,4,22,44,0,0,0,2,0,3,4,1,11,0,24,0,8,
2021,Meghalaya,17,North Garo Hills,656,Garo Hills North,4,0,0,3,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,16,
2021,Karnataka,29,Kodagu,541,Kodagu,19,1,0,59,0,0,0,1,1,9,50,0,1,3,4,274,14,0,0,0,14,0,0,0,0,0,3,41,0,0,0,0,2,0,0,38,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,8,3,0,5,34,73,15,43,0,12,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,34,9,0,1,0,0,0,0,322,0,0,0,6,0,3,2,26,31,0,23,1,142,
2021,Karnataka,29,Kolar,542,Kolar,28,2,33,132,0,0,0,0,10,9,54,0,5,4,13,282,5,0,0,6,12,0,0,23,0,0,7,47,0,0,0,12,20,0,1,37,6,0,0,0,1,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,0,1,0,,9,2,59,8,8,0,0,0,62,1,0,2,179,76,16,62,4,29,2,5,0,3,0,5,0,0,0,0,0,2,0,0,0,66,13,0,11,0,0,58,119,207,0,0,0,2,0,2,6,37,15,1,47,1,73,
2021,Karnataka,29,Koppal,543,Koppal,14,1,11,215,0,0,0,3,4,13,30,0,0,3,77,0,21,0,0,0,24,0,0,21,0,0,10,79,0,0,0,2,1,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,4,0,0,0,,0,0,32,6,4,0,0,0,44,1,0,7,79,135,28,59,0,11,1,5,0,0,0,11,0,0,0,0,0,1,0,0,0,35,2,0,2,0,0,69,29,276,0,0,0,0,0,4,2,43,52,0,28,0,218,
2021,Karnataka,29,Mandya,544,Mandya,54,4,17,362,0,0,0,4,6,16,82,0,2,1,171,676,44,0,0,1,9,0,0,0,0,0,62,240,0,0,0,9,59,0,7,101,28,0,0,1,2,0,0,1,0,0,0,0,11,0,0,0,0,0,0,0,0,4,0,0,1,,0,0,23,0,0,0,0,0,53,0,0,12,268,180,33,137,0,47,1,5,0,6,2,9,0,0,0,0,0,0,0,0,0,105,11,0,2,0,0,112,841,372,0,1,0,2,0,19,7,67,75,0,68,5,427,
2021,Karnataka,29,Dakshina Kannada,534,Mangaluru City,12,2,10,114,0,0,0,4,1,11,64,0,1,0,74,47,32,2,0,0,1,0,0,3,17,1,6,50,0,0,0,3,1,3,6,11,13,0,0,0,0,0,0,2,3,0,0,0,13,0,0,0,2,0,0,0,0,0,1,1,0,,0,0,0,0,0,0,0,0,21,6,0,5,73,108,10,58,0,38,4,15,0,3,0,19,0,0,0,0,1,8,0,0,12,89,13,0,0,0,0,46,125,503,0,0,0,23,1,7,1,24,17,1,57,0,538,
2021,Karnataka,29,Mysuru,545,Mysuru City,23,1,9,108,0,0,0,4,1,18,60,0,4,1,75,167,26,6,0,5,2,0,0,0,0,0,7,33,0,2,0,7,8,2,1,59,1,0,0,2,0,0,0,1,1,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,,4,0,7,3,4,0,0,0,2,1,0,10,322,123,20,108,5,72,1,5,1,1,0,36,0,0,0,0,0,0,0,0,13,151,13,0,24,0,1,57,107,370,35,0,0,2,0,4,9,36,33,0,31,3,11,
2021,Karnataka,29,Mysuru,545,Mysuru District,57,2,31,319,0,0,0,3,4,22,87,0,6,1,113,584,54,0,1,12,22,0,0,0,0,0,23,169,0,0,0,11,42,1,4,58,22,0,0,0,0,1,0,3,0,0,0,0,13,0,0,0,0,0,0,0,1,2,2,0,0,,0,0,41,0,0,0,0,0,83,3,0,15,181,272,17,216,0,47,0,8,0,1,0,9,0,0,0,0,0,0,0,0,0,113,6,1,7,0,0,54,468,441,0,0,0,4,0,11,11,58,93,0,121,5,247,
2021,Karnataka,29,Raichur,546,Raichur,36,4,40,265,0,0,0,1,8,16,64,3,1,4,0,181,28,0,0,5,35,0,0,0,0,0,20,209,0,0,0,6,11,0,2,24,7,0,0,0,2,0,0,0,0,0,0,0,28,0,2,0,0,0,1,0,0,3,1,0,0,,0,0,46,0,15,0,0,0,154,2,0,2,109,233,11,47,0,6,0,2,0,0,0,12,0,0,0,0,0,0,0,0,0,104,4,17,6,0,1,32,24,342,64,0,0,1,0,7,4,39,88,2,48,0,169,
2021,Karnataka,29,Bengaluru Urban,525,K.Railways,18,0,0,0,0,0,0,3,0,8,3,0,2,0,0,8,3,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,25,739,0,1,0,43,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,6,0,8,
2021,Karnataka,29,Ramanagara,631,Ramanagara,55,2,36,227,0,0,0,5,1,16,54,0,1,2,105,409,37,0,0,5,23,1,0,0,0,0,2,122,0,0,0,7,34,0,3,69,9,0,0,2,2,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,1,2,0,0,0,,0,0,9,0,0,0,0,0,32,0,0,13,243,189,37,106,0,51,0,3,0,9,0,9,0,0,0,0,0,0,0,0,0,166,9,2,6,0,0,106,296,412,0,0,0,4,0,12,13,80,56,0,68,0,70,
2021,Karnataka,29,Shivamogga,547,Shimoga,37,2,17,277,0,0,0,14,3,28,121,0,0,4,22,613,49,8,0,6,19,0,0,0,7,0,20,210,1,0,0,10,68,1,4,88,2,0,1,1,3,0,0,4,0,0,0,0,19,0,0,0,0,0,0,2,0,3,1,13,0,,1,0,64,9,6,0,0,0,137,1,0,21,210,183,32,153,6,70,3,7,0,15,1,10,0,0,0,0,1,1,3,7,0,162,7,0,2,0,0,88,420,473,0,0,0,5,0,21,2,74,67,3,111,2,12,
2021,Karnataka,29,Tumakuru,548,Tumakuru,70,2,61,535,0,0,0,9,7,18,90,0,3,3,153,493,62,46,0,15,18,0,1,3,0,0,10,78,0,0,0,41,23,0,15,119,15,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,1,0,0,6,0,0,0,,12,5,47,6,14,0,0,0,13,0,0,4,298,180,52,183,0,91,3,5,0,7,0,17,0,0,0,0,2,3,6,10,6,137,36,1,6,0,0,234,263,927,89,0,0,6,0,5,7,83,50,0,65,1,26,
2021,Karnataka,29,Udupi,549,Udupi,10,1,7,182,0,0,1,7,0,3,30,0,0,2,98,91,15,0,0,9,7,0,0,0,0,0,7,49,0,0,0,6,2,0,4,18,4,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,11,1,21,0,0,0,8,1,0,8,36,67,13,69,4,10,1,1,0,0,0,10,0,0,0,0,1,0,0,1,1,88,10,1,0,0,0,92,127,602,0,0,0,7,0,10,4,33,28,0,83,0,373,
2021,Karnataka,29,Uttara Kannada,550,Uttara Kannada,19,0,9,181,0,0,0,9,1,8,42,0,0,2,67,151,25,0,0,5,18,0,0,0,0,0,3,85,0,0,0,4,38,1,2,34,1,0,0,0,2,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,34,1,0,0,0,0,63,1,0,9,41,68,8,81,0,13,0,2,0,1,0,22,0,0,0,0,1,0,0,0,10,14,17,2,1,0,0,106,406,248,0,0,0,3,0,0,6,17,19,0,37,12,122,
2021,Karnataka,29,Yadgir,635,Yadgiri,21,2,13,129,0,0,0,3,4,8,51,2,1,2,24,121,8,2,0,2,19,0,0,0,3,0,16,123,0,0,0,9,8,0,3,14,10,0,0,0,5,0,0,2,0,0,0,0,19,0,0,0,0,0,2,0,0,1,0,0,2,,0,1,24,0,3,0,0,0,91,1,0,3,34,107,7,35,1,2,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,32,1,0,5,0,0,23,17,243,0,0,0,6,2,2,1,27,41,1,26,0,39,
2021,Karnataka,29,Belagavi,527,Belagavi City,21,0,22,83,0,0,0,10,2,9,47,0,3,0,11,84,13,0,0,3,24,0,0,1,1,0,6,27,0,0,0,2,1,0,1,19,4,0,0,0,1,2,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,21,1,6,0,0,1,42,15,0,5,149,60,26,91,2,19,3,7,0,1,0,0,0,0,0,0,0,0,1,0,0,99,5,1,10,0,0,21,29,269,0,0,0,5,0,5,3,21,84,0,21,0,8,
2021,Karnataka,29,Kalaburagi,538,Kalaburgi City,39,0,7,107,0,0,0,3,3,5,54,0,2,3,12,137,15,7,0,0,20,0,0,3,1,0,8,47,0,0,0,1,0,0,0,33,3,0,0,1,1,0,0,3,0,0,0,0,18,1,0,0,0,0,0,0,0,3,0,0,0,,0,0,2,0,0,0,0,0,36,0,0,0,160,52,18,86,0,35,1,0,0,6,0,1,0,0,0,0,0,0,0,0,0,58,8,1,3,0,2,45,59,236,0,0,0,10,0,4,4,13,89,0,44,1,405,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Karnataka,29,Bagalkote,524,Bagalkot,41,0,24,332,0,0,0,11,2,19,83,0,0,5,0,90,16,0,0,0,22,0,0,0,0,0,9,59,0,0,0,3,96,0,1,32,6,0,0,0,0,1,0,3,0,0,0,0,12,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,39,0,0,0,0,0,69,1,0,2,181,118,25,90,0,14,0,1,0,2,1,3,0,0,0,0,0,3,0,0,0,76,9,0,1,0,2,44,58,442,1,1,0,10,0,0,6,27,34,0,32,0,39,
2022,Karnataka,29,Chikkaballapura,630,Chikkaballapura,29,0,11,241,0,0,0,4,11,17,62,0,5,2,0,423,25,0,1,0,25,0,0,0,42,0,12,92,0,0,0,11,40,1,2,50,1,0,0,1,1,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,61,0,0,0,0,0,97,0,0,6,199,144,14,88,0,30,1,3,0,1,0,6,0,0,0,0,0,0,0,0,0,93,6,0,2,0,0,0,246,270,9,0,0,2,0,13,6,50,51,0,35,1,23,
2022,Karnataka,29,Bengaluru Urban,525,Bengaluru City,173,16,222,547,0,3,21,109,29,141,389,11,10,17,680,1691,147,29,2,50,136,6,3,5,66,2,32,488,8,1,3,108,63,16,70,865,41,1,4,22,3,1,0,9,7,0,0,0,151,0,4,0,0,0,0,0,1,5,0,0,0,,0,0,47,2,16,0,1,0,37,14,1,104,5064,2510,180,702,123,603,26,23,0,175,3,147,2,0,0,0,16,22,1,2,444,2462,151,0,21,0,4,476,592,2111,3904,0,3,15,2,92,51,426,584,12,411,29,647,
2022,Karnataka,29,Bengaluru Urban,525,Bengaluru District,70,3,110,462,0,0,0,13,14,34,87,0,0,2,397,72,34,74,0,5,19,0,0,0,0,0,10,85,0,0,0,71,0,0,0,241,8,0,0,3,0,0,0,0,0,0,0,0,21,0,0,0,5,0,0,0,3,0,0,0,0,,0,0,86,0,0,0,0,0,49,0,0,5,841,339,60,200,4,100,4,9,0,22,0,33,0,0,0,0,2,0,0,0,0,375,36,0,6,0,0,702,274,581,12,0,0,3,0,15,8,138,149,0,104,2,29,
2022,Karnataka,29,Belagavi,527,Belagavi District,69,0,59,643,0,0,0,5,3,24,163,0,8,3,59,261,16,0,0,6,125,0,0,12,0,0,8,129,0,0,0,2,138,0,7,83,13,0,0,0,0,0,0,0,0,0,0,0,22,0,1,0,0,0,0,0,0,2,0,0,1,,0,0,65,0,0,0,0,0,193,0,0,0,336,167,38,157,0,31,0,13,0,0,0,26,0,0,0,0,0,9,1,1,2,139,39,0,0,0,1,51,48,1133,0,0,0,13,0,3,5,61,127,0,100,0,82,
2022,Karnataka,29,Ballari,528,Ballari,26,2,0,213,0,0,0,4,1,9,50,1,2,1,1,114,10,0,0,1,14,0,0,0,24,0,16,19,0,0,0,17,41,0,4,37,0,0,0,0,0,0,0,14,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,1,,0,0,12,0,0,0,0,0,79,0,0,2,225,122,22,85,0,22,0,0,0,0,1,9,0,0,0,0,1,0,0,0,0,82,10,0,1,0,0,42,187,86,17,0,0,2,0,6,1,27,65,0,28,0,26,
2022,Karnataka,29,Bidar,529,Bidar,54,1,48,257,0,0,1,6,4,14,43,8,2,2,121,464,15,0,4,8,31,0,0,4,8,0,22,52,0,0,0,2,0,0,0,29,12,0,0,1,2,1,0,7,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,2,1,,0,0,39,0,98,0,0,0,10,0,0,19,203,128,18,159,0,52,0,5,0,1,1,6,0,0,0,0,1,1,0,0,1,43,15,0,0,0,0,45,183,603,0,0,0,12,0,7,5,62,110,0,29,0,42,
2022,Karnataka,29,Vijayapura,530,Vijayapura,59,1,40,347,0,0,0,8,3,16,128,1,0,7,0,253,0,0,0,0,67,0,0,16,0,0,0,130,6,0,0,0,4,0,0,70,5,0,0,0,0,0,0,9,0,0,0,0,20,0,0,0,0,0,0,0,0,2,0,40,0,,15,5,34,10,34,0,0,0,20,1,0,8,213,160,37,122,0,11,0,6,0,5,0,6,0,0,0,0,0,14,0,0,0,95,17,4,5,0,12,0,29,502,32,0,0,4,0,7,0,16,107,0,48,2,45,
2022,Karnataka,29,Chamarajanagara,531,Chamarajnagar,19,3,14,165,0,0,0,0,1,11,63,0,4,2,0,270,25,0,0,0,18,0,0,0,0,0,0,57,0,0,0,6,89,0,3,21,6,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,5,0,4,0,0,0,,2,0,50,3,41,0,0,2,0,0,0,7,63,70,8,62,0,9,0,1,0,1,0,1,0,0,0,0,0,0,0,0,7,21,3,4,2,0,0,26,233,167,3,0,0,4,0,19,10,6,19,0,30,2,33,
2022,Karnataka,29,Chikkamagaluru,532,Chikkamagaluru,14,5,55,167,0,0,0,16,4,18,77,0,3,0,143,330,28,6,0,3,30,0,0,2,18,0,15,123,11,0,7,25,48,0,9,76,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,2,0,3,0,0,1,0,0,0,,1,0,38,14,1,0,0,1,42,6,0,12,72,144,29,95,0,19,0,1,0,1,1,7,0,0,0,0,0,0,1,1,5,68,9,0,1,0,0,94,296,373,0,0,0,3,0,10,4,46,43,0,64,0,11,
2022,Karnataka,29,Chitradurga,533,Chitradurga,30,3,110,292,0,0,0,6,7,23,80,0,8,2,293,222,28,0,0,2,14,0,0,0,53,0,11,221,9,0,0,0,150,1,2,51,31,0,0,0,2,1,0,1,0,0,0,0,12,0,0,0,1,0,0,0,0,0,0,43,0,,19,0,51,45,15,0,0,0,1,2,0,7,180,187,20,93,1,30,0,6,0,1,0,3,0,0,0,0,0,0,0,0,0,101,8,0,1,0,0,164,702,454,4,0,0,5,0,14,4,32,72,0,57,4,65,
2022,Karnataka,29,Dakshina Kannada,534,Dakshina Kannada,22,1,6,142,0,0,0,4,0,3,28,0,0,0,10,222,13,0,0,0,12,0,0,0,0,0,5,36,0,0,0,10,3,1,7,15,5,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,5,0,0,0,0,0,4,,3,0,13,5,18,0,0,0,1,1,0,2,15,66,12,50,0,16,0,1,0,0,0,2,0,0,0,0,0,3,0,0,5,33,4,0,1,0,0,41,326,428,0,0,0,5,0,9,3,26,31,0,111,2,15,
2022,Karnataka,29,Davangere,535,Davanagere,29,2,36,269,0,0,0,6,7,19,112,0,7,5,111,163,34,0,0,3,15,0,0,10,0,0,5,123,0,0,1,5,87,0,2,103,14,0,0,1,3,0,0,1,3,0,0,0,17,1,0,0,1,0,1,0,0,2,2,0,1,,0,0,80,0,0,0,0,0,96,3,1,7,405,227,19,144,3,54,1,11,0,3,1,6,0,1,0,0,1,3,1,0,126,7,15,0,1,0,0,73,523,152,2,0,0,11,0,11,0,46,59,0,47,1,54,
2022,Karnataka,29,Dharwad,536,Dharwad,26,1,70,140,0,0,0,2,0,10,51,0,1,4,38,72,6,0,5,1,9,0,0,3,0,3,6,33,0,0,0,6,7,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,17,0,0,0,0,1,38,0,0,3,68,76,10,42,0,11,0,2,0,0,0,2,0,0,0,0,1,0,0,3,8,39,0,0,0,0,0,55,34,173,3,0,0,2,0,3,3,13,42,0,18,0,9,
2022,Karnataka,29,Gadag,537,Gadag,22,0,3,151,0,0,0,8,2,8,33,6,0,2,0,78,15,3,0,1,18,0,0,0,1,0,2,45,0,0,0,7,2,0,2,9,13,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,,0,0,18,1,0,0,0,0,74,0,0,5,56,107,6,50,1,10,2,0,0,1,0,4,0,0,0,0,0,0,0,0,0,39,2,0,1,0,0,18,19,138,0,0,0,4,0,1,5,14,23,0,12,1,6,
2022,Karnataka,29,Kalaburagi,538,Kalaburgi,55,3,20,265,0,0,0,5,3,18,64,2,1,4,75,230,6,2,0,7,28,0,0,9,5,0,13,110,0,0,0,0,7,0,0,15,26,0,0,0,0,2,0,2,0,0,0,0,12,0,0,0,0,0,0,0,0,2,0,0,0,,0,0,25,1,0,0,0,0,162,4,0,0,92,204,19,78,0,11,1,6,0,2,0,7,0,0,0,0,0,0,0,0,0,26,1,0,11,0,1,23,36,508,0,0,0,13,0,7,4,32,101,0,55,0,41,
